id,category,requirement,regulation,severity,applies-to,description
"D1","disclosure","Risk Factor Disclosures","SEC Rule 421","critical","offering-circular,ppm","All material risk factors must be disclosed prominently"
"D2","disclosure","Forward-Looking Statement Safe Harbor","PSLRA","critical","all-financial","Forward-looking statements must include safe harbor language"
"D3","disclosure","Investment Limitation Disclosure","Reg A/CF","critical","offering-circular","Non-accredited investor limitations must be clearly stated"
"D4","disclosure","Fee and Compensation Disclosure","SEC/FINRA","critical","offering-circular,ppm","All fees, commissions, and compensation must be disclosed"
"D5","disclosure","Conflict of Interest Disclosure","SEC","high","offering-circular","Material conflicts of interest must be disclosed"
"C1","content","No Promissory Language","SEC Rule 10b-5","critical","all","Cannot guarantee or promise returns"
"C2","content","Balanced Presentation","FINRA Rule 2210","high","marketing","Material risks must accompany any performance claims"
"C3","content","Substantiation of Claims","FTC Act","high","all","All factual claims must be substantiated"
"C4","content","No General Solicitation (506b)","Reg D 506(b)","critical","marketing","No general solicitation if using 506(b) exemption"
"C5","content","Accredited Investor Verification","Reg D 506(c)","critical","subscription","Must verify accredited status if using 506(c)"
"L1","legend","Required Disclaimers","SEC","critical","all","Required regulatory disclaimers must be present"
"L2","legend","Not an Offer","Securities Act","critical","marketing","Marketing materials must state they are not an offer to sell"
"L3","legend","Past Performance Disclaimer","SEC","high","financial","Past performance does not guarantee future results"
