channel,type,typical_cac,time_to_roi,scalability,best_for,complexity
"SEO","organic","$50-200","6-12 months","high","sustained organic traffic and authority building","medium"
"Content Marketing","organic","$100-300","3-9 months","high","thought leadership and inbound lead generation","medium"
"Social Organic","organic","$30-100","3-6 months","medium","brand awareness and community engagement","low"
"Social Paid","paid","$50-250","1-3 months","high","targeted audience acquisition and retargeting","medium"
"Google Ads","paid","$100-500","immediate","high","high-intent search demand capture","high"
"Meta Ads","paid","$50-300","1-4 weeks","high","audience targeting and lookalike expansion","medium"
"Email","owned","$10-50","1-3 months","high","nurture sequences and retention engagement","low"
"Podcast","organic","$200-500","6-12 months","low","deep audience trust and thought leadership","medium"
"YouTube","organic","$150-400","6-18 months","high","evergreen content and search-driven discovery","high"
"PR/Media","earned","$200-1000","1-6 months","low","credibility building and brand awareness spikes","high"
"Partnerships","organic","$100-300","3-6 months","medium","co-marketing reach expansion and trust transfer","medium"
"Affiliates","performance","$50-200","1-3 months","high","performance-based scaling with aligned incentives","medium"
"Events","offline","$300-1000","1-6 months","low","high-value relationship building and pipeline acceleration","high"
"Community","organic","$50-150","6-12 months","medium","retention and advocacy through peer engagement","medium"
"Outbound Sales","direct","$200-800","1-3 months","medium","targeted account acquisition and enterprise deals","high"
