sefirah,hebrew,pillar,council_member,commander,divine_name
Keter,כתר,Central - Pillar of Balance,Light Core (Supernal),None - Source Will,Ehyeh Asher Ehyeh
Chokmah,חכמה,Right - Pillar of Mercy,Light Core (Supernal),None - Source Wisdom,Yah
Binah,בינה,Left - Pillar of Judgment,Light Core (Supernal),None - Source Understanding,YHVH Elohim
Da'at,דעת,Central - Pillar of Balance,Hidden Bridge,None - Hidden Knowledge,None
Chesed,חסד,Right - Pillar of Mercy,Guardian of Gaia,Commander of Chesed,El
Gevurah,גבורה,Left - Pillar of Judgment,Oracle of Soul Purpose,Commander of Gevurah,Elohim Gibor
Tiferet,תפארת,Central - Pillar of Balance,Steward of Exchange,Commander of Tiferet,YHVH Eloah va-Da'at
Netzach,נצח,Right - Pillar of Mercy,Weaver of Collective Futures,Commander of Netzach,YHVH Tzvaot
Hod,הוד,Left - Pillar of Judgment,Flame of Cultural Restoration,Commander of Hod,Elohim Tzvaot
Yesod,יסוד,Central - Pillar of Balance,Architect of Sacred Systems,Commander of Yesod,Shaddai El Chai
Malkhut,מלכות,Central - Pillar of Balance,Mirror of the Multiverse,Commander of Malkhut,Adonai ha-Aretz
